cancer,normal,actual,seed,level
0.468,0.532,normal,1,phylum
0.51,0.49,normal,1,phylum
0.229,0.771,normal,1,phylum
0.566,0.434,normal,1,phylum
0.682,0.318,cancer,1,phylum
0.461,0.539,normal,1,phylum
0.312,0.688,cancer,1,phylum
0.476,0.524,normal,1,phylum
0.178,0.822,normal,1,phylum
0.498,0.502,normal,1,phylum
0.305,0.695,normal,1,phylum
0.396,0.604,normal,1,phylum
0.244,0.756,normal,1,phylum
0.365,0.635,cancer,1,phylum
0.403,0.597,normal,1,phylum
0.511,0.489,normal,1,phylum
0.503,0.497,normal,1,phylum
0.342,0.658,cancer,1,phylum
0.333,0.667,normal,1,phylum
0.62,0.38,cancer,1,phylum
0.612,0.388,normal,1,phylum
0.426,0.574,normal,1,phylum
0.284,0.716,normal,1,phylum
0.386,0.614,normal,1,phylum
0.223,0.777,normal,1,phylum
0.375,0.625,cancer,1,phylum
0.249,0.751,cancer,1,phylum
0.348,0.652,cancer,1,phylum
0.435,0.565,normal,1,phylum
0.35,0.65,cancer,1,phylum
0.437,0.563,cancer,1,phylum
0.561,0.439,cancer,1,phylum
0.28,0.72,cancer,1,phylum
0.641,0.359,cancer,1,phylum
0.348,0.652,cancer,1,phylum
0.481,0.519,cancer,1,phylum
0.382,0.618,cancer,1,phylum
0.318,0.682,cancer,1,phylum
0.783,0.217,cancer,1,phylum
0.368,0.632,cancer,1,phylum
0.679,0.321,cancer,1,phylum
0.54,0.46,cancer,1,phylum
0.203,0.797,cancer,1,phylum
0.599,0.401,cancer,1,phylum
0.307,0.693,normal,1,phylum
0.777,0.223,cancer,1,phylum
0.291,0.709,cancer,1,phylum
0.523,0.477,cancer,1,phylum
0.666,0.334,normal,1,phylum
0.219,0.781,cancer,1,phylum
0.403,0.597,normal,1,phylum
0.503,0.497,normal,1,phylum
0.301,0.699,normal,1,phylum
0.532,0.468,cancer,1,phylum
0.485,0.515,cancer,1,phylum
0.29,0.71,cancer,1,phylum
0.702,0.298,cancer,1,phylum
0.637,0.363,cancer,1,phylum
0.187,0.813,cancer,1,phylum
0.342,0.658,cancer,1,phylum
0.221,0.779,cancer,1,phylum
0.274,0.726,normal,1,phylum
0.365,0.635,normal,1,phylum
0.22,0.78,cancer,1,phylum
0.197,0.803,cancer,1,phylum
0.403,0.597,normal,1,phylum
0.557,0.443,normal,1,phylum
0.322,0.678,normal,1,phylum
0.583,0.417,normal,1,phylum
0.37,0.63,normal,1,phylum
0.312,0.688,normal,1,phylum
0.151,0.849,normal,1,phylum
0.305,0.695,cancer,1,phylum
0.293,0.707,normal,1,phylum
0.177,0.823,cancer,1,phylum
0.172,0.828,normal,1,phylum
0.354,0.646,normal,1,phylum
0.239,0.761,normal,1,phylum
0.594,0.406,normal,1,phylum
0.678,0.322,normal,1,phylum
0.416,0.584,normal,1,phylum
0.53,0.47,cancer,1,phylum
0.366,0.634,cancer,1,phylum
0.258,0.742,normal,1,phylum
0.328,0.672,normal,1,phylum
0.272,0.728,normal,1,phylum
0.393,0.607,normal,1,phylum
0.501,0.499,normal,1,phylum
0.257,0.743,cancer,1,phylum
0.306,0.694,normal,1,phylum
0.65,0.35,normal,1,phylum
0.194,0.806,cancer,1,phylum
0.412,0.588,normal,1,phylum
0.19,0.81,normal,1,phylum
0.202,0.798,normal,1,phylum
0.452,0.548,cancer,1,phylum
0.471,0.529,cancer,1,phylum
0.288,0.712,normal,10,phylum
0.535,0.465,cancer,10,phylum
0.454,0.546,normal,10,phylum
0.407,0.593,normal,10,phylum
0.371,0.629,normal,10,phylum
0.608,0.392,normal,10,phylum
0.597,0.403,normal,10,phylum
0.23,0.77,normal,10,phylum
0.192,0.808,cancer,10,phylum
0.348,0.652,normal,10,phylum
0.256,0.744,normal,10,phylum
0.262,0.738,normal,10,phylum
0.228,0.772,normal,10,phylum
