cancer,normal,actual,seed,level
0.473,0.527,normal,1,genus
0.403,0.597,normal,1,genus
0.352,0.648,normal,1,genus
0.505,0.495,normal,1,genus
0.547,0.453,cancer,1,genus
0.292,0.708,normal,1,genus
0.53,0.47,cancer,1,genus
0.292,0.708,normal,1,genus
0.31,0.69,normal,1,genus
0.554,0.446,normal,1,genus
0.558,0.442,cancer,1,genus
0.41,0.59,normal,1,genus
0.592,0.408,normal,1,genus
0.513,0.487,normal,1,genus
0.386,0.614,cancer,1,genus
0.377,0.623,cancer,1,genus
0.494,0.506,normal,1,genus
0.361,0.639,normal,1,genus
0.403,0.597,cancer,1,genus
0.422,0.578,normal,1,genus
0.659,0.341,cancer,1,genus
0.438,0.562,cancer,1,genus
0.379,0.621,normal,1,genus
0.386,0.614,cancer,1,genus
0.48,0.52,normal,1,genus
0.267,0.733,normal,1,genus
0.486,0.514,normal,1,genus
0.409,0.591,normal,1,genus
0.42,0.58,cancer,1,genus
0.612,0.388,cancer,1,genus
0.623,0.377,cancer,1,genus
0.515,0.485,normal,1,genus
0.456,0.544,cancer,1,genus
0.555,0.445,cancer,1,genus
0.43,0.57,cancer,1,genus
0.532,0.468,cancer,1,genus
0.472,0.528,cancer,1,genus
0.464,0.536,cancer,1,genus
0.574,0.426,cancer,1,genus
0.539,0.461,normal,1,genus
0.572,0.428,cancer,1,genus
0.428,0.572,cancer,1,genus
0.592,0.408,cancer,1,genus
0.468,0.532,cancer,1,genus
0.453,0.547,cancer,1,genus
0.652,0.348,cancer,1,genus
0.519,0.481,cancer,1,genus
0.613,0.387,normal,1,genus
0.317,0.683,cancer,1,genus
0.554,0.446,cancer,1,genus
0.458,0.542,cancer,1,genus
0.479,0.521,cancer,1,genus
0.358,0.642,normal,1,genus
0.469,0.531,normal,1,genus
0.528,0.472,cancer,1,genus
0.379,0.621,cancer,1,genus
0.537,0.463,cancer,1,genus
0.374,0.626,normal,1,genus
0.347,0.653,normal,1,genus
0.535,0.465,cancer,1,genus
0.478,0.522,normal,1,genus
0.461,0.539,normal,1,genus
0.546,0.454,cancer,1,genus
0.268,0.732,cancer,1,genus
0.466,0.534,normal,1,genus
0.327,0.673,normal,1,genus
0.441,0.559,normal,1,genus
0.449,0.551,normal,1,genus
0.579,0.421,normal,1,genus
0.498,0.502,cancer,1,genus
0.473,0.527,normal,1,genus
0.396,0.604,cancer,1,genus
0.677,0.323,cancer,1,genus
0.423,0.577,cancer,1,genus
0.53,0.47,normal,1,genus
0.433,0.567,normal,1,genus
0.363,0.637,normal,1,genus
0.476,0.524,normal,1,genus
0.357,0.643,normal,1,genus
0.525,0.475,normal,1,genus
0.448,0.552,normal,1,genus
0.547,0.453,cancer,1,genus
0.324,0.676,normal,1,genus
0.455,0.545,normal,1,genus
0.511,0.489,normal,1,genus
0.424,0.576,normal,1,genus
0.457,0.543,normal,1,genus
0.589,0.411,cancer,1,genus
0.435,0.565,cancer,1,genus
0.431,0.569,normal,1,genus
0.563,0.437,normal,1,genus
0.637,0.363,cancer,1,genus
0.417,0.583,normal,1,genus
0.514,0.486,normal,1,genus
0.403,0.597,cancer,1,genus
0.379,0.621,normal,1,genus
0.414,0.586,normal,1,genus
0.499,0.501,normal,10,genus
0.582,0.418,cancer,10,genus
0.317,0.683,normal,10,genus
0.546,0.454,normal,10,genus
0.381,0.619,normal,10,genus
0.497,0.503,normal,10,genus
0.519,0.481,normal,10,genus
0.566,0.434,normal,10,genus
0.378,0.622,normal,10,genus
0.621,0.379,normal,10,genus
0.412,0.588,normal,10,genus
0.59,0.41,normal,10,genus
0.538,0.462,normal,10,genus
0.558,0.442,normal,10,genus
0.373,0.627,normal,10,genus
0.483,0.517,cancer,10,genus
0.453,0.547,cancer,10,genus
0.345,0.655,cancer,10,genus
0.686,0.314,cancer,10,genus
0.726,0.274,cancer,10,genus
0.3,0.7,normal,10,genus
0.513,0.487,cancer,10,genus
0.452,0.548,cancer,10,genus
0.386,0.614,normal,10,genus
0.239,0.761,normal,10,genus
0.317,0.683,cancer,10,genus
0.387,0.613,cancer,10,genus
0.424,0.576,cancer,10,genus
0.73,0.27,cancer,10,genus
0.516,0.484,normal,10,genus
0.542,0.458,cancer,10,genus
0.408,0.592,cancer,10,genus
0.543,0.457,cancer,10,genus
0.567,0.433,cancer,10,genus
0.405,0.595,normal,10,genus
0.475,0.525,normal,10,genus
0.614,0.386,cancer,10,genus
0.816,0.184,cancer,10,genus
0.48,0.52,cancer,10,genus
0.586,0.414,cancer,10,genus
0.436,0.564,cancer,10,genus
0.491,0.509,cancer,10,genus
0.587,0.413,normal,10,genus
0.543,0.457,cancer,10,genus
0.421,0.579,normal,10,genus
0.325,0.675,normal,10,genus
0.43,0.57,normal,10,genus
0.314,0.686,cancer,10,genus
0.464,0.536,normal,10,genus
0.71,0.29,cancer,10,genus
0.44,0.56,cancer,10,genus
0.471,0.529,cancer,10,genus
0.439,0.561,normal,10,genus
0.399,0.601,cancer,10,genus
0.718,0.282,cancer,10,genus
0.404,0.596,normal,10,genus
0.44,0.56,normal,10,genus
0.412,0.588,cancer,10,genus
0.534,0.466,normal,10,genus
0.479,0.521,cancer,10,genus
0.389,0.611,cancer,10,genus
0.516,0.484,normal,10,genus
0.366,0.634,cancer,10,genus
0.545,0.455,cancer,10,genus
0.477,0.523,cancer,10,genus
0.374,0.626,normal,10,genus
0.711,0.289,cancer,10,genus
0.496,0.504,normal,10,genus
0.316,0.684,normal,10,genus
0.383,0.617,normal,10,genus
0.3,0.7,normal,10,genus
0.471,0.529,normal,10,genus
0.448,0.552,normal,10,genus
0.7,0.3,cancer,10,genus
0.549,0.451,normal,10,genus
0.379,0.621,normal,10,genus
0.5,0.5,cancer,10,genus
0.659,0.341,cancer,10,genus
0.452,0.548,normal,10,genus
0.311,0.689,cancer,10,genus
0.451,0.549,normal,10,genus
0.502,0.498,normal,10,genus
0.471,0.529,cancer,10,genus
0.658,0.342,cancer,10,genus
0.339,0.661,normal,10,genus
0.474,0.526,cancer,10,genus
0.677,0.323,normal,10,genus
0.448,0.552,normal,10,genus
0.533,0.467,normal,10,genus
0.438,0.562,cancer,10,genus
0.452,0.548,normal,10,genus
0.481,0.519,normal,10,genus
0.317,0.683,normal,10,genus
0.46,0.54,normal,10,genus
0.394,0.606,normal,10,genus
0.605,0.395,cancer,10,genus
0.467,0.533,normal,10,genus
0.374,0.626,normal,100,genus
0.528,0.472,normal,100,genus
0.283,0.717,normal,100,genus
0.328,0.672,normal,100,genus
0.426,0.574,cancer,100,genus
0.451,0.549,normal,100,genus
0.377,0.623,normal,100,genus
0.353,0.647,normal,100,genus
0.599,0.401,normal,100,genus
0.324,0.676,normal,100,genus
0.318,0.682,normal,100,genus
0.501,0.499,normal,100,genus
0.563,0.437,cancer,100,genus
0.44,0.56,normal,100,genus
0.501,0.499,normal,100,genus
0.369,0.631,normal,100,genus
0.548,0.452,normal,100,genus
0.643,0.357,cancer,100,genus
0.489,0.511,cancer,100,genus
0.608,0.392,cancer,100,genus
0.304,0.696,normal,100,genus
0.551,0.449,cancer,100,genus
0.427,0.573,normal,100,genus
0.375,0.625,normal,100,genus
0.376,0.624,cancer,100,genus
0.381,0.619,cancer,100,genus
0.493,0.507,normal,100,genus
0.611,0.389,cancer,100,genus
0.442,0.558,cancer,100,genus
0.455,0.545,cancer,100,genus
0.325,0.675,cancer,100,genus
0.481,0.519,cancer,100,genus
0.493,0.507,cancer,100,genus
0.439,0.561,cancer,100,genus
0.554,0.446,cancer,100,genus
0.709,0.291,cancer,100,genus
0.518,0.482,cancer,100,genus
0.597,0.403,cancer,100,genus
0.437,0.563,cancer,100,genus
0.605,0.395,cancer,100,genus
0.511,0.489,cancer,100,genus
0.434,0.566,cancer,100,genus
0.412,0.588,normal,100,genus
0.78,0.22,cancer,100,genus
0.582,0.418,normal,100,genus
0.447,0.553,normal,100,genus
0.449,0.551,cancer,100,genus
0.496,0.504,cancer,100,genus
0.561,0.439,cancer,100,genus
0.549,0.451,cancer,100,genus
0.406,0.594,cancer,100,genus
0.451,0.549,normal,100,genus
0.442,0.558,normal,100,genus
0.406,0.594,normal,100,genus
0.45,0.55,cancer,100,genus
0.449,0.551,normal,100,genus
0.502,0.498,cancer,100,genus
0.546,0.454,normal,100,genus
0.66,0.34,cancer,100,genus
0.43,0.57,normal,100,genus
0.576,0.424,normal,100,genus
0.459,0.541,normal,100,genus
0.414,0.586,normal,100,genus
0.418,0.582,normal,100,genus
0.389,0.611,normal,100,genus
0.617,0.383,cancer,100,genus
0.451,0.549,normal,100,genus
0.514,0.486,cancer,100,genus
0.445,0.555,normal,100,genus
0.649,0.351,cancer,100,genus
0.562,0.438,cancer,100,genus
0.742,0.258,cancer,100,genus
0.463,0.537,normal,100,genus
0.46,0.54,cancer,100,genus
0.456,0.544,cancer,100,genus
0.516,0.484,cancer,100,genus
0.509,0.491,normal,100,genus
0.424,0.576,normal,100,genus
0.464,0.536,normal,100,genus
0.432,0.568,normal,100,genus
0.378,0.622,normal,100,genus
0.443,0.557,normal,100,genus
0.43,0.57,normal,100,genus
0.417,0.583,normal,100,genus
0.378,0.622,normal,100,genus
0.476,0.524,cancer,100,genus
0.394,0.606,normal,100,genus
0.513,0.487,cancer,100,genus
0.604,0.396,cancer,100,genus
0.306,0.694,normal,100,genus
0.518,0.482,cancer,100,genus
0.449,0.551,normal,100,genus
0.299,0.701,normal,100,genus
0.503,0.497,normal,100,genus
0.44,0.56,normal,100,genus
0.364,0.636,cancer,100,genus
0.386,0.614,normal,100,genus
0.416,0.584,normal,11,genus
0.51,0.49,cancer,11,genus
0.633,0.367,cancer,11,genus
0.445,0.555,cancer,11,genus
0.512,0.488,normal,11,genus
0.369,0.631,normal,11,genus
0.527,0.473,normal,11,genus
0.51,0.49,normal,11,genus
0.355,0.645,normal,11,genus
0.31,0.69,normal,11,genus
0.521,0.479,normal,11,genus
0.389,0.611,cancer,11,genus
0.412,0.588,normal,11,genus
0.426,0.574,cancer,11,genus
0.48,0.52,normal,11,genus
0.461,0.539,normal,11,genus
0.341,0.659,cancer,11,genus
0.244,0.756,normal,11,genus
0.536,0.464,normal,11,genus
0.618,0.382,cancer,11,genus
0.352,0.648,normal,11,genus
0.587,0.413,cancer,11,genus
0.488,0.512,normal,11,genus
0.376,0.624,normal,11,genus
0.367,0.633,cancer,11,genus
0.615,0.385,cancer,11,genus
0.525,0.475,cancer,11,genus
0.393,0.607,cancer,11,genus
0.318,0.682,cancer,11,genus
0.531,0.469,cancer,11,genus
0.706,0.294,cancer,11,genus
0.364,0.636,cancer,11,genus
0.369,0.631,cancer,11,genus
0.453,0.547,cancer,11,genus
0.606,0.394,cancer,11,genus
0.603,0.397,cancer,11,genus
0.508,0.492,cancer,11,genus
0.487,0.513,normal,11,genus
