cancer,normal,actual,seed,level
0.175,0.825,normal,1,family
0.458,0.542,cancer,1,family
0.441,0.559,normal,1,family
0.201,0.799,normal,1,family
0.374,0.626,normal,1,family
0.618,0.382,normal,1,family
0.65,0.35,normal,1,family
0.637,0.363,cancer,1,family
0.452,0.548,normal,1,family
0.394,0.606,normal,1,family
0.581,0.419,normal,1,family
0.434,0.566,cancer,1,family
0.519,0.481,normal,1,family
0.424,0.576,cancer,1,family
0.584,0.416,cancer,1,family
0.464,0.536,cancer,1,family
0.308,0.692,normal,1,family
0.274,0.726,normal,1,family
0.488,0.512,cancer,1,family
0.264,0.736,cancer,1,family
0.712,0.288,cancer,1,family
0.444,0.556,normal,1,family
0.513,0.487,cancer,1,family
0.489,0.511,cancer,1,family
0.503,0.497,cancer,1,family
0.739,0.261,cancer,1,family
0.382,0.618,cancer,1,family
0.454,0.546,cancer,1,family
0.734,0.266,cancer,1,family
0.407,0.593,normal,1,family
0.474,0.526,cancer,1,family
0.419,0.581,cancer,1,family
0.376,0.624,cancer,1,family
0.559,0.441,normal,1,family
0.651,0.349,cancer,1,family
0.223,0.777,normal,1,family
0.732,0.268,cancer,1,family
0.53,0.47,cancer,1,family
0.721,0.279,cancer,1,family
0.377,0.623,cancer,1,family
0.724,0.276,cancer,1,family
0.597,0.403,cancer,1,family
0.468,0.532,cancer,1,family
0.349,0.651,cancer,1,family
0.447,0.553,cancer,1,family
0.344,0.656,normal,1,family
0.375,0.625,normal,1,family
0.699,0.301,cancer,1,family
0.438,0.562,normal,1,family
0.501,0.499,cancer,1,family
0.46,0.54,normal,1,family
0.389,0.611,cancer,1,family
0.392,0.608,normal,1,family
0.593,0.407,normal,1,family
0.429,0.571,normal,1,family
0.231,0.769,cancer,1,family
0.459,0.541,normal,1,family
0.48,0.52,normal,1,family
0.387,0.613,normal,1,family
0.437,0.563,normal,1,family
0.474,0.526,normal,1,family
0.74,0.26,normal,1,family
0.371,0.629,normal,1,family
0.486,0.514,cancer,1,family
0.338,0.662,normal,1,family
0.399,0.601,normal,1,family
0.456,0.544,normal,1,family
0.448,0.552,normal,1,family
0.71,0.29,cancer,1,family
0.481,0.519,normal,1,family
0.574,0.426,cancer,1,family
0.469,0.531,normal,1,family
0.467,0.533,cancer,1,family
0.606,0.394,cancer,1,family
0.436,0.564,normal,1,family
0.547,0.453,cancer,1,family
0.704,0.296,cancer,1,family
0.529,0.471,normal,1,family
0.264,0.736,normal,1,family
0.236,0.764,normal,1,family
0.612,0.388,normal,1,family
0.519,0.481,cancer,1,family
0.475,0.525,cancer,1,family
0.722,0.278,cancer,1,family
0.593,0.407,cancer,1,family
0.599,0.401,normal,1,family
0.696,0.304,normal,1,family
0.509,0.491,normal,1,family
0.353,0.647,normal,1,family
0.397,0.603,normal,1,family
0.408,0.592,cancer,1,family
0.496,0.504,normal,1,family
0.36,0.64,normal,1,family
0.481,0.519,normal,1,family
0.549,0.451,normal,1,family
0.424,0.576,normal,1,family
0.624,0.376,normal,1,family
0.508,0.492,normal,10,family
0.434,0.566,normal,10,family
0.533,0.467,cancer,10,family
0.405,0.595,cancer,10,family
0.368,0.632,normal,10,family
0.605,0.395,cancer,10,family
0.598,0.402,normal,10,family
0.499,0.501,normal,10,family
0.537,0.463,normal,10,family
0.42,0.58,normal,10,family
0.278,0.722,cancer,10,family
0.328,0.672,normal,10,family
0.379,0.621,normal,10,family
0.479,0.521,cancer,10,family
0.456,0.544,normal,10,family
0.543,0.457,cancer,10,family
0.354,0.646,normal,10,family
0.401,0.599,normal,10,family
0.597,0.403,cancer,10,family
0.478,0.522,normal,10,family
0.358,0.642,normal,10,family
0.477,0.523,normal,10,family
0.532,0.468,cancer,10,family
0.24,0.76,normal,10,family
0.421,0.579,cancer,10,family
0.541,0.459,cancer,10,family
0.478,0.522,normal,10,family
0.528,0.472,cancer,10,family
0.693,0.307,cancer,10,family
