cancer,normal,actual,seed,level
0.403,0.597,normal,1,class
0.571,0.429,normal,1,class
0.191,0.809,normal,1,class
0.456,0.544,cancer,1,class
0.686,0.314,cancer,1,class
0.535,0.465,normal,1,class
0.346,0.654,cancer,1,class
0.548,0.452,normal,1,class
0.682,0.318,normal,1,class
0.618,0.382,normal,1,class
0.269,0.731,normal,1,class
0.395,0.605,normal,1,class
0.462,0.538,normal,1,class
0.399,0.601,cancer,1,class
0.545,0.455,normal,1,class
0.509,0.491,normal,1,class
0.356,0.644,cancer,1,class
0.388,0.612,normal,1,class
0.345,0.655,cancer,1,class
0.478,0.522,normal,1,class
0.356,0.644,normal,1,class
0.411,0.589,cancer,1,class
0.288,0.712,cancer,1,class
0.469,0.531,normal,1,class
0.469,0.531,cancer,1,class
0.396,0.604,cancer,1,class
0.378,0.622,cancer,1,class
0.341,0.659,cancer,1,class
0.679,0.321,cancer,1,class
0.424,0.576,cancer,1,class
0.493,0.507,cancer,1,class
0.412,0.588,cancer,1,class
0.375,0.625,cancer,1,class
0.337,0.663,normal,1,class
0.587,0.413,cancer,1,class
0.475,0.525,cancer,1,class
0.433,0.567,cancer,1,class
0.379,0.621,cancer,1,class
0.557,0.443,cancer,1,class
0.469,0.531,cancer,1,class
0.282,0.718,cancer,1,class
0.584,0.416,cancer,1,class
0.479,0.521,normal,1,class
0.702,0.298,cancer,1,class
0.529,0.471,normal,1,class
0.578,0.422,normal,1,class
0.489,0.511,cancer,1,class
0.37,0.63,cancer,1,class
0.311,0.689,cancer,1,class
0.407,0.593,cancer,1,class
0.67,0.33,cancer,1,class
0.486,0.514,cancer,1,class
0.517,0.483,cancer,1,class
0.515,0.485,normal,1,class
0.289,0.711,cancer,1,class
0.31,0.69,cancer,1,class
0.215,0.785,normal,1,class
0.359,0.641,normal,1,class
0.598,0.402,normal,1,class
0.602,0.398,normal,1,class
0.421,0.579,normal,1,class
0.359,0.641,cancer,1,class
0.415,0.585,normal,1,class
0.327,0.673,cancer,1,class
0.59,0.41,normal,1,class
0.256,0.744,normal,1,class
0.293,0.707,normal,1,class
0.407,0.593,normal,1,class
0.469,0.531,cancer,1,class
0.632,0.368,normal,1,class
0.534,0.466,cancer,1,class
0.331,0.669,normal,1,class
0.433,0.567,normal,1,class
0.252,0.748,cancer,1,class
0.428,0.572,normal,1,class
0.416,0.584,cancer,1,class
0.304,0.696,normal,1,class
0.42,0.58,normal,1,class
0.281,0.719,normal,1,class
0.498,0.502,normal,1,class
0.452,0.548,normal,1,class
0.437,0.563,normal,1,class
0.319,0.681,normal,1,class
0.475,0.525,normal,1,class
0.315,0.685,normal,1,class
0.689,0.311,normal,1,class
0.516,0.484,normal,1,class
0.596,0.404,cancer,1,class
0.534,0.466,cancer,1,class
0.49,0.51,cancer,1,class
0.598,0.402,normal,1,class
0.445,0.555,cancer,1,class
0.385,0.615,normal,1,class
0.203,0.797,normal,1,class
0.529,0.471,normal,1,class
0.45,0.55,normal,1,class
0.364,0.636,normal,1,class
0.314,0.686,normal,10,class
0.502,0.498,cancer,10,class
0.495,0.505,cancer,10,class
0.522,0.478,normal,10,class
0.412,0.588,normal,10,class
0.442,0.558,normal,10,class
0.628,0.372,normal,10,class
0.561,0.439,normal,10,class
0.302,0.698,normal,10,class
0.218,0.782,cancer,10,class
0.33,0.67,normal,10,class
0.423,0.577,normal,10,class
0.377,0.623,normal,10,class
0.335,0.665,normal,10,class
0.314,0.686,normal,10,class
0.457,0.543,normal,10,class
0.527,0.473,cancer,10,class
0.318,0.682,normal,10,class
0.586,0.414,cancer,10,class
0.403,0.597,normal,10,class
0.451,0.549,cancer,10,class
0.401,0.599,normal,10,class
0.286,0.714,normal,10,class
0.403,0.597,normal,10,class
0.404,0.596,normal,10,class
0.42,0.58,cancer,10,class
0.362,0.638,cancer,10,class
0.495,0.505,cancer,10,class
0.301,0.699,cancer,10,class
0.446,0.554,cancer,10,class
0.637,0.363,cancer,10,class
0.409,0.591,cancer,10,class
0.66,0.34,cancer,10,class
0.335,0.665,normal,10,class
0.454,0.546,cancer,10,class
0.481,0.519,cancer,10,class
0.699,0.301,cancer,10,class
0.343,0.657,cancer,10,class
0.5,0.5,cancer,10,class
0.605,0.395,cancer,10,class
0.388,0.612,normal,10,class
0.463,0.537,cancer,10,class
0.397,0.603,normal,10,class
0.446,0.554,cancer,10,class
0.428,0.572,cancer,10,class
0.461,0.539,cancer,10,class
0.543,0.457,cancer,10,class
0.494,0.506,cancer,10,class
0.487,0.513,cancer,10,class
0.293,0.707,normal,10,class
0.59,0.41,cancer,10,class
0.392,0.608,normal,10,class
0.293,0.707,normal,10,class
0.548,0.452,cancer,10,class
0.349,0.651,normal,10,class
0.534,0.466,normal,10,class
0.462,0.538,normal,10,class
0.659,0.341,cancer,10,class
0.524,0.476,normal,10,class
0.423,0.577,normal,10,class
0.624,0.376,normal,10,class
0.501,0.499,cancer,10,class
0.627,0.373,cancer,10,class
0.445,0.555,cancer,10,class
0.34,0.66,cancer,10,class
0.549,0.451,normal,10,class
0.651,0.349,cancer,10,class
0.525,0.475,normal,10,class
0.287,0.713,normal,10,class
0.434,0.566,normal,10,class
0.257,0.743,cancer,10,class
0.234,0.766,normal,10,class
0.482,0.518,cancer,10,class
0.367,0.633,normal,10,class
0.669,0.331,cancer,10,class
0.29,0.71,normal,10,class
0.392,0.608,normal,10,class
0.466,0.534,normal,10,class
0.313,0.687,normal,10,class
0.359,0.641,cancer,10,class
0.353,0.647,normal,10,class
0.394,0.606,cancer,10,class
0.634,0.366,normal,10,class
0.426,0.574,cancer,10,class
0.446,0.554,normal,10,class
