cancer,normal,actual,seed,level
0.387,0.613,normal,1,asv
0.641,0.359,normal,1,asv
0.257,0.743,normal,1,asv
0.511,0.489,normal,1,asv
0.416,0.584,normal,1,asv
0.492,0.508,normal,1,asv
0.297,0.703,normal,1,asv
0.41,0.59,normal,1,asv
0.444,0.556,cancer,1,asv
0.499,0.501,normal,1,asv
0.443,0.557,normal,1,asv
0.51,0.49,normal,1,asv
0.556,0.444,cancer,1,asv
0.476,0.524,cancer,1,asv
0.371,0.629,cancer,1,asv
0.552,0.448,cancer,1,asv
0.273,0.727,normal,1,asv
0.427,0.573,normal,1,asv
0.49,0.51,normal,1,asv
0.503,0.497,normal,1,asv
0.42,0.58,cancer,1,asv
0.459,0.541,normal,1,asv
0.495,0.505,normal,1,asv
0.445,0.555,normal,1,asv
0.479,0.521,cancer,1,asv
0.501,0.499,cancer,1,asv
0.506,0.494,cancer,1,asv
0.449,0.551,cancer,1,asv
0.531,0.469,cancer,1,asv
0.631,0.369,cancer,1,asv
0.466,0.534,cancer,1,asv
0.38,0.62,cancer,1,asv
0.297,0.703,cancer,1,asv
0.608,0.392,cancer,1,asv
0.303,0.697,cancer,1,asv
0.506,0.494,normal,1,asv
0.506,0.494,cancer,1,asv
0.558,0.442,normal,1,asv
0.545,0.455,cancer,1,asv
0.529,0.471,normal,1,asv
0.428,0.572,cancer,1,asv
0.602,0.398,cancer,1,asv
0.455,0.545,cancer,1,asv
0.546,0.454,cancer,1,asv
0.486,0.514,cancer,1,asv
0.479,0.521,normal,1,asv
0.714,0.286,cancer,1,asv
0.603,0.397,cancer,1,asv
0.395,0.605,normal,1,asv
0.389,0.611,cancer,1,asv
0.501,0.499,normal,1,asv
0.593,0.407,cancer,1,asv
0.419,0.581,normal,1,asv
0.524,0.476,cancer,1,asv
0.183,0.817,cancer,1,asv
0.477,0.523,cancer,1,asv
0.531,0.469,normal,1,asv
0.52,0.48,normal,1,asv
0.448,0.552,cancer,1,asv
0.356,0.644,normal,1,asv
0.623,0.377,cancer,1,asv
0.399,0.601,normal,1,asv
0.373,0.627,normal,1,asv
0.398,0.602,normal,1,asv
0.538,0.462,cancer,1,asv
0.578,0.422,cancer,1,asv
0.539,0.461,normal,1,asv
0.363,0.637,normal,1,asv
0.536,0.464,cancer,1,asv
0.377,0.623,cancer,1,asv
0.384,0.616,normal,1,asv
0.379,0.621,normal,1,asv
0.379,0.621,cancer,1,asv
0.548,0.452,normal,1,asv
0.375,0.625,normal,1,asv
0.612,0.388,cancer,1,asv
0.452,0.548,normal,1,asv
0.372,0.628,normal,1,asv
0.428,0.572,normal,1,asv
0.482,0.518,normal,1,asv
0.491,0.509,normal,1,asv
0.441,0.559,cancer,1,asv
0.444,0.556,normal,1,asv
0.493,0.507,normal,1,asv
0.481,0.519,cancer,1,asv
0.495,0.505,normal,1,asv
0.311,0.689,normal,1,asv
0.29,0.71,normal,1,asv
0.448,0.552,cancer,1,asv
0.404,0.596,normal,1,asv
0.38,0.62,normal,1,asv
0.461,0.539,normal,1,asv
0.568,0.432,cancer,1,asv
0.379,0.621,cancer,1,asv
0.57,0.43,normal,1,asv
0.479,0.521,cancer,1,asv
0.358,0.642,normal,1,asv
0.432,0.568,normal,10,asv
0.49,0.51,normal,10,asv
0.39,0.61,normal,10,asv
0.491,0.509,normal,10,asv
0.676,0.324,cancer,10,asv
0.454,0.546,normal,10,asv
0.504,0.496,cancer,10,asv
0.5,0.5,normal,10,asv
0.409,0.591,normal,10,asv
0.556,0.444,normal,10,asv
0.517,0.483,normal,10,asv
0.535,0.465,normal,10,asv
0.399,0.601,normal,10,asv
0.516,0.484,normal,10,asv
0.489,0.511,normal,10,asv
0.471,0.529,normal,10,asv
0.432,0.568,normal,10,asv
0.345,0.655,normal,10,asv
0.539,0.461,normal,10,asv
0.412,0.588,cancer,10,asv
0.542,0.458,cancer,10,asv
0.276,0.724,normal,10,asv
0.42,0.58,cancer,10,asv
0.52,0.48,cancer,10,asv
0.389,0.611,cancer,10,asv
0.398,0.602,normal,10,asv
0.31,0.69,normal,10,asv
0.446,0.554,normal,10,asv
0.655,0.345,cancer,10,asv
0.463,0.537,normal,10,asv
0.661,0.339,cancer,10,asv
0.46,0.54,cancer,10,asv
0.475,0.525,normal,10,asv
0.517,0.483,cancer,10,asv
0.577,0.423,cancer,10,asv
0.628,0.372,cancer,10,asv
0.502,0.498,normal,10,asv
0.41,0.59,normal,10,asv
0.59,0.41,cancer,10,asv
0.437,0.563,cancer,10,asv
0.503,0.497,cancer,10,asv
0.395,0.605,cancer,10,asv
0.457,0.543,cancer,10,asv
0.517,0.483,cancer,10,asv
0.53,0.47,cancer,10,asv
0.496,0.504,normal,10,asv
0.367,0.633,cancer,10,asv
0.291,0.709,cancer,10,asv
0.527,0.473,cancer,10,asv
0.482,0.518,cancer,10,asv
0.498,0.502,cancer,10,asv
0.454,0.546,normal,10,asv
0.698,0.302,cancer,10,asv
0.512,0.488,normal,10,asv
0.523,0.477,cancer,10,asv
0.551,0.449,cancer,10,asv
0.496,0.504,normal,10,asv
0.52,0.48,cancer,10,asv
0.491,0.509,normal,10,asv
0.672,0.328,cancer,10,asv
0.369,0.631,normal,10,asv
0.574,0.426,cancer,10,asv
0.498,0.502,normal,10,asv
0.501,0.499,cancer,10,asv
0.444,0.556,cancer,10,asv
0.472,0.528,cancer,10,asv
0.412,0.588,cancer,10,asv
0.418,0.582,cancer,10,asv
0.451,0.549,normal,10,asv
0.558,0.442,cancer,10,asv
0.521,0.479,cancer,10,asv
0.523,0.477,normal,10,asv
0.437,0.563,normal,10,asv
0.452,0.548,cancer,10,asv
0.456,0.544,cancer,10,asv
0.547,0.453,cancer,10,asv
0.458,0.542,cancer,10,asv
0.501,0.499,normal,10,asv
0.472,0.528,normal,10,asv
0.335,0.665,normal,10,asv
0.532,0.468,normal,10,asv
0.378,0.622,normal,10,asv
0.474,0.526,normal,10,asv
0.424,0.576,cancer,10,asv
0.682,0.318,cancer,10,asv
0.361,0.639,normal,10,asv
0.611,0.389,cancer,10,asv
0.518,0.482,normal,10,asv
0.506,0.494,normal,10,asv
0.307,0.693,normal,10,asv
0.404,0.596,normal,10,asv
0.35,0.65,normal,10,asv
0.52,0.48,normal,10,asv
0.418,0.582,normal,10,asv
0.451,0.549,normal,10,asv
0.529,0.471,normal,10,asv
0.358,0.642,normal,10,asv
0.491,0.509,normal,100,asv
0.341,0.659,normal,100,asv
0.433,0.567,normal,100,asv
0.551,0.449,normal,100,asv
0.642,0.358,cancer,100,asv
0.449,0.551,normal,100,asv
0.325,0.675,normal,100,asv
0.438,0.562,normal,100,asv
0.344,0.656,normal,100,asv
0.454,0.546,normal,100,asv
0.352,0.648,normal,100,asv
0.46,0.54,normal,100,asv
0.422,0.578,normal,100,asv
0.407,0.593,normal,100,asv
0.521,0.479,normal,100,asv
0.404,0.596,normal,100,asv
0.604,0.396,cancer,100,asv
0.321,0.679,normal,100,asv
0.448,0.552,normal,100,asv
0.513,0.487,cancer,100,asv
0.448,0.552,normal,100,asv
0.476,0.524,normal,100,asv
0.523,0.477,cancer,100,asv
0.482,0.518,normal,100,asv
