cancer,normal,actual,seed,level
0.307,0.693,normal,1,otu
0.244,0.756,normal,1,otu
0.292,0.708,normal,1,otu
0.517,0.483,normal,1,otu
0.421,0.579,normal,1,otu
0.31,0.69,normal,1,otu
0.449,0.551,normal,1,otu
0.418,0.582,normal,1,otu
0.292,0.708,normal,1,otu
0.289,0.711,normal,1,otu
0.374,0.626,normal,1,otu
0.481,0.519,normal,1,otu
0.535,0.465,normal,1,otu
0.336,0.664,normal,1,otu
0.421,0.579,cancer,1,otu
0.616,0.384,cancer,1,otu
0.432,0.568,normal,1,otu
0.393,0.607,normal,1,otu
0.403,0.597,cancer,1,otu
0.427,0.573,cancer,1,otu
0.523,0.477,normal,1,otu
0.424,0.576,normal,1,otu
0.608,0.392,cancer,1,otu
0.449,0.551,cancer,1,otu
0.655,0.345,cancer,1,otu
0.434,0.566,normal,1,otu
0.61,0.39,cancer,1,otu
0.462,0.538,cancer,1,otu
0.423,0.577,normal,1,otu
0.569,0.431,cancer,1,otu
0.415,0.585,cancer,1,otu
0.699,0.301,cancer,1,otu
0.466,0.534,cancer,1,otu
0.602,0.398,cancer,1,otu
0.437,0.563,cancer,1,otu
0.476,0.524,cancer,1,otu
0.586,0.414,cancer,1,otu
0.511,0.489,cancer,1,otu
0.684,0.316,cancer,1,otu
0.324,0.676,cancer,1,otu
0.45,0.55,cancer,1,otu
0.62,0.38,cancer,1,otu
0.599,0.401,cancer,1,otu
0.379,0.621,normal,1,otu
0.346,0.654,cancer,1,otu
0.74,0.26,cancer,1,otu
0.462,0.538,cancer,1,otu
0.487,0.513,cancer,1,otu
0.543,0.457,cancer,1,otu
0.468,0.532,normal,1,otu
0.61,0.39,normal,1,otu
0.557,0.443,cancer,1,otu
0.595,0.405,cancer,1,otu
0.484,0.516,normal,1,otu
0.476,0.524,normal,1,otu
0.682,0.318,cancer,1,otu
0.518,0.482,cancer,1,otu
0.367,0.633,normal,1,otu
0.449,0.551,normal,1,otu
0.415,0.585,normal,1,otu
0.572,0.428,cancer,1,otu
0.388,0.612,normal,1,otu
0.209,0.791,cancer,1,otu
0.514,0.486,normal,1,otu
0.469,0.531,cancer,1,otu
0.478,0.522,normal,1,otu
0.413,0.587,normal,1,otu
0.639,0.361,cancer,1,otu
0.323,0.677,cancer,1,otu
0.586,0.414,normal,1,otu
0.482,0.518,normal,1,otu
0.302,0.698,normal,1,otu
0.459,0.541,normal,1,otu
0.51,0.49,cancer,1,otu
0.406,0.594,normal,1,otu
0.474,0.526,cancer,1,otu
0.682,0.318,cancer,1,otu
0.45,0.55,normal,1,otu
0.439,0.561,normal,1,otu
0.361,0.639,normal,1,otu
0.367,0.633,normal,1,otu
0.673,0.327,cancer,1,otu
0.424,0.576,normal,1,otu
0.383,0.617,normal,1,otu
0.375,0.625,cancer,1,otu
0.447,0.553,normal,1,otu
0.639,0.361,normal,1,otu
0.357,0.643,normal,1,otu
0.43,0.57,normal,1,otu
0.486,0.514,normal,1,otu
0.58,0.42,normal,1,otu
0.303,0.697,cancer,1,otu
0.59,0.41,cancer,1,otu
0.441,0.559,normal,1,otu
0.291,0.709,cancer,1,otu
0.433,0.567,normal,1,otu
0.53,0.47,normal,1,otu
0.274,0.726,normal,10,otu
0.221,0.779,normal,10,otu
0.369,0.631,normal,10,otu
0.275,0.725,normal,10,otu
0.548,0.452,normal,10,otu
0.37,0.63,normal,10,otu
0.337,0.663,normal,10,otu
0.373,0.627,normal,10,otu
0.231,0.769,cancer,10,otu
0.455,0.545,normal,10,otu
0.41,0.59,normal,10,otu
0.426,0.574,normal,10,otu
0.448,0.552,normal,10,otu
0.506,0.494,normal,10,otu
0.406,0.594,cancer,10,otu
0.507,0.493,normal,10,otu
0.48,0.52,cancer,10,otu
0.411,0.589,normal,10,otu
0.437,0.563,normal,10,otu
0.432,0.568,cancer,10,otu
0.397,0.603,cancer,10,otu
0.46,0.54,normal,10,otu
0.424,0.576,normal,10,otu
0.378,0.622,normal,10,otu
0.482,0.518,cancer,10,otu
0.667,0.333,cancer,10,otu
0.564,0.436,cancer,10,otu
0.471,0.529,cancer,10,otu
0.676,0.324,cancer,10,otu
0.417,0.583,cancer,10,otu
0.644,0.356,cancer,10,otu
0.454,0.546,cancer,10,otu
0.413,0.587,cancer,10,otu
0.733,0.267,cancer,10,otu
0.222,0.778,normal,10,otu
0.344,0.656,cancer,10,otu
0.329,0.671,cancer,10,otu
0.45,0.55,normal,10,otu
0.707,0.293,cancer,10,otu
0.552,0.448,cancer,10,otu
0.512,0.488,normal,10,otu
0.506,0.494,cancer,10,otu
0.415,0.585,normal,10,otu
0.433,0.567,cancer,10,otu
0.422,0.578,cancer,10,otu
0.652,0.348,cancer,10,otu
0.721,0.279,cancer,10,otu
0.657,0.343,normal,10,otu
0.396,0.604,cancer,10,otu
0.569,0.431,cancer,10,otu
0.371,0.629,cancer,10,otu
0.461,0.539,cancer,10,otu
0.483,0.517,cancer,10,otu
0.399,0.601,cancer,10,otu
0.477,0.523,cancer,10,otu
0.446,0.554,normal,10,otu
0.358,0.642,normal,10,otu
0.605,0.395,cancer,10,otu
0.511,0.489,normal,10,otu
0.376,0.624,normal,10,otu
0.665,0.335,cancer,10,otu
0.58,0.42,normal,10,otu
0.519,0.481,normal,10,otu
0.543,0.457,normal,10,otu
0.763,0.237,cancer,10,otu
0.442,0.558,normal,10,otu
0.341,0.659,normal,10,otu
0.494,0.506,normal,10,otu
0.383,0.617,normal,10,otu
0.349,0.651,normal,10,otu
0.441,0.559,cancer,10,otu
0.412,0.588,cancer,10,otu
0.701,0.299,cancer,10,otu
0.553,0.447,normal,10,otu
0.319,0.681,normal,10,otu
0.351,0.649,cancer,10,otu
0.525,0.475,normal,10,otu
0.464,0.536,normal,10,otu
0.483,0.517,normal,10,otu
0.574,0.426,cancer,10,otu
0.718,0.282,normal,10,otu
0.378,0.622,normal,10,otu
0.333,0.667,normal,10,otu
0.433,0.567,normal,10,otu
0.406,0.594,cancer,10,otu
0.523,0.477,cancer,10,otu
0.651,0.349,cancer,10,otu
0.36,0.64,normal,10,otu
0.429,0.571,normal,10,otu
0.693,0.307,normal,10,otu
0.614,0.386,cancer,10,otu
0.403,0.597,cancer,10,otu
0.353,0.647,normal,10,otu
0.546,0.454,normal,10,otu
0.307,0.693,normal,10,otu
0.568,0.432,cancer,10,otu
0.415,0.585,normal,10,otu
0.505,0.495,normal,100,otu
0.309,0.691,normal,100,otu
0.379,0.621,cancer,100,otu
0.414,0.586,cancer,100,otu
0.57,0.43,cancer,100,otu
0.525,0.475,normal,100,otu
0.492,0.508,normal,100,otu
0.504,0.496,normal,100,otu
0.424,0.576,normal,100,otu
0.309,0.691,normal,100,otu
0.384,0.616,normal,100,otu
0.4,0.6,cancer,100,otu
0.362,0.638,normal,100,otu
0.455,0.545,normal,100,otu
0.417,0.583,normal,100,otu
0.43,0.57,normal,100,otu
0.564,0.436,cancer,100,otu
0.37,0.63,normal,100,otu
0.44,0.56,normal,100,otu
0.442,0.558,normal,100,otu
0.669,0.331,cancer,100,otu
0.551,0.449,normal,100,otu
0.334,0.666,normal,100,otu
0.59,0.41,cancer,100,otu
0.551,0.449,normal,100,otu
0.653,0.347,cancer,100,otu
0.483,0.517,cancer,100,otu
0.404,0.596,normal,100,otu
0.428,0.572,normal,100,otu
0.417,0.583,normal,100,otu
0.449,0.551,cancer,100,otu
0.671,0.329,cancer,100,otu
0.443,0.557,cancer,100,otu
0.543,0.457,normal,100,otu
0.656,0.344,cancer,100,otu
0.381,0.619,normal,100,otu
0.417,0.583,cancer,100,otu
0.459,0.541,cancer,100,otu
0.617,0.383,cancer,100,otu
0.448,0.552,normal,100,otu
0.623,0.377,cancer,100,otu
0.447,0.553,cancer,100,otu
0.531,0.469,cancer,100,otu
0.765,0.235,cancer,100,otu
0.527,0.473,cancer,100,otu
