cancer,normal,actual,seed,level
0.458,0.542,normal,1,order
0.552,0.448,normal,1,order
0.242,0.758,normal,1,order
0.382,0.618,cancer,1,order
0.617,0.383,cancer,1,order
0.48,0.52,normal,1,order
0.469,0.531,cancer,1,order
0.43,0.57,normal,1,order
0.594,0.406,normal,1,order
0.485,0.515,normal,1,order
0.512,0.488,normal,1,order
0.327,0.673,normal,1,order
0.44,0.56,normal,1,order
0.403,0.597,normal,1,order
0.444,0.556,cancer,1,order
0.54,0.46,normal,1,order
0.453,0.547,normal,1,order
0.431,0.569,cancer,1,order
0.333,0.667,normal,1,order
0.4,0.6,cancer,1,order
0.465,0.535,normal,1,order
0.31,0.69,normal,1,order
0.395,0.605,cancer,1,order
0.333,0.667,cancer,1,order
0.471,0.529,cancer,1,order
0.409,0.591,cancer,1,order
0.532,0.468,cancer,1,order
0.707,0.293,cancer,1,order
0.468,0.532,cancer,1,order
0.402,0.598,cancer,1,order
0.451,0.549,cancer,1,order
0.509,0.491,cancer,1,order
0.319,0.681,normal,1,order
0.673,0.327,cancer,1,order
0.432,0.568,cancer,1,order
0.503,0.497,cancer,1,order
0.504,0.496,cancer,1,order
0.609,0.391,cancer,1,order
0.494,0.506,cancer,1,order
0.517,0.483,cancer,1,order
0.589,0.411,cancer,1,order
0.645,0.355,cancer,1,order
0.529,0.471,cancer,1,order
0.441,0.559,cancer,1,order
0.396,0.604,cancer,1,order
0.364,0.636,cancer,1,order
0.611,0.389,cancer,1,order
0.331,0.669,normal,1,order
0.53,0.47,cancer,1,order
0.371,0.629,normal,1,order
0.412,0.588,cancer,1,order
0.478,0.522,normal,1,order
0.403,0.597,normal,1,order
0.409,0.591,cancer,1,order
0.387,0.613,normal,1,order
0.484,0.516,normal,1,order
0.362,0.638,normal,1,order
0.267,0.733,cancer,1,order
0.423,0.577,cancer,1,order
0.451,0.549,normal,1,order
0.466,0.534,normal,1,order
0.585,0.415,normal,1,order
0.357,0.643,normal,1,order
0.473,0.527,cancer,1,order
0.567,0.433,normal,1,order
0.469,0.531,normal,1,order
0.395,0.605,normal,1,order
0.578,0.422,cancer,1,order
0.336,0.664,normal,1,order
0.562,0.438,cancer,1,order
0.68,0.32,cancer,1,order
0.406,0.594,normal,1,order
0.461,0.539,cancer,1,order
0.486,0.514,normal,1,order
0.411,0.589,normal,1,order
0.492,0.508,normal,1,order
0.318,0.682,normal,1,order
0.329,0.671,cancer,1,order
0.398,0.602,normal,1,order
0.462,0.538,normal,1,order
0.444,0.556,cancer,1,order
0.389,0.611,cancer,1,order
0.416,0.584,normal,1,order
0.341,0.659,normal,1,order
0.371,0.629,cancer,1,order
0.478,0.522,normal,1,order
0.328,0.672,normal,1,order
0.625,0.375,normal,1,order
0.415,0.585,normal,1,order
0.498,0.502,normal,1,order
0.46,0.54,normal,1,order
0.549,0.451,cancer,1,order
0.238,0.762,normal,1,order
0.446,0.554,normal,1,order
0.29,0.71,normal,1,order
0.282,0.718,normal,1,order
0.589,0.411,normal,1,order
0.356,0.644,normal,10,order
0.228,0.772,normal,10,order
0.418,0.582,cancer,10,order
0.38,0.62,cancer,10,order
0.492,0.508,normal,10,order
0.546,0.454,cancer,10,order
0.437,0.563,normal,10,order
0.431,0.569,normal,10,order
0.63,0.37,normal,10,order
0.531,0.469,normal,10,order
0.263,0.737,normal,10,order
0.249,0.751,cancer,10,order
0.459,0.541,normal,10,order
0.44,0.56,normal,10,order
0.346,0.654,normal,10,order
0.351,0.649,normal,10,order
0.494,0.506,normal,10,order
0.427,0.573,cancer,10,order
0.644,0.356,cancer,10,order
0.333,0.667,normal,10,order
0.433,0.567,normal,10,order
0.277,0.723,normal,10,order
0.557,0.443,cancer,10,order
0.394,0.606,cancer,10,order
0.289,0.711,normal,10,order
0.425,0.575,normal,10,order
0.385,0.615,normal,10,order
0.424,0.576,cancer,10,order
0.346,0.654,cancer,10,order
0.404,0.596,cancer,10,order
0.403,0.597,normal,10,order
0.462,0.538,cancer,10,order
0.547,0.453,cancer,10,order
0.497,0.503,cancer,10,order
0.587,0.413,cancer,10,order
0.613,0.387,cancer,10,order
0.488,0.512,cancer,10,order
0.381,0.619,normal,10,order
0.483,0.517,normal,10,order
0.536,0.464,cancer,10,order
0.577,0.423,cancer,10,order
0.584,0.416,cancer,10,order
0.608,0.392,cancer,10,order
0.377,0.623,normal,10,order
0.465,0.535,cancer,10,order
0.384,0.616,cancer,10,order
0.467,0.533,cancer,10,order
0.765,0.235,cancer,10,order
0.477,0.523,cancer,10,order
0.47,0.53,cancer,10,order
0.487,0.513,normal,10,order
0.495,0.505,normal,10,order
0.307,0.693,normal,10,order
0.463,0.537,cancer,10,order
0.493,0.507,normal,10,order
0.397,0.603,cancer,10,order
0.351,0.649,normal,10,order
0.544,0.456,cancer,10,order
0.496,0.504,normal,10,order
0.642,0.358,cancer,10,order
0.475,0.525,normal,10,order
0.533,0.467,cancer,10,order
0.598,0.402,normal,10,order
0.43,0.57,cancer,10,order
0.376,0.624,normal,10,order
0.565,0.435,normal,10,order
0.386,0.614,normal,10,order
0.449,0.551,normal,10,order
0.469,0.531,cancer,10,order
0.309,0.691,normal,10,order
0.305,0.695,cancer,10,order
0.365,0.635,cancer,10,order
0.428,0.572,normal,10,order
0.338,0.662,cancer,10,order
0.551,0.449,normal,10,order
0.596,0.404,normal,10,order
0.284,0.716,cancer,10,order
0.312,0.688,normal,10,order
0.648,0.352,cancer,10,order
0.394,0.606,normal,10,order
0.441,0.559,cancer,10,order
0.51,0.49,normal,10,order
0.486,0.514,normal,10,order
0.63,0.37,normal,10,order
0.439,0.561,normal,10,order
0.434,0.566,cancer,10,order
0.644,0.356,cancer,10,order
0.621,0.379,cancer,10,order
0.624,0.376,normal,10,order
0.483,0.517,normal,10,order
0.493,0.507,cancer,10,order
0.426,0.574,normal,10,order
0.445,0.555,cancer,10,order
0.406,0.594,normal,10,order
0.295,0.705,normal,10,order
0.495,0.505,normal,10,order
0.575,0.425,normal,10,order
0.462,0.538,normal,100,order
0.399,0.601,cancer,100,order
0.57,0.43,cancer,100,order
0.519,0.481,normal,100,order
0.438,0.562,cancer,100,order
0.343,0.657,normal,100,order
0.687,0.313,normal,100,order
0.517,0.483,normal,100,order
0.698,0.302,normal,100,order
0.229,0.771,cancer,100,order
0.464,0.536,normal,100,order
0.439,0.561,normal,100,order
0.514,0.486,normal,100,order
0.393,0.607,normal,100,order
0.403,0.597,normal,100,order
0.407,0.593,normal,100,order
0.334,0.666,normal,100,order
0.52,0.48,normal,100,order
0.281,0.719,normal,100,order
0.264,0.736,cancer,100,order
0.302,0.698,normal,100,order
0.393,0.607,cancer,100,order
0.542,0.458,normal,100,order
0.597,0.403,cancer,100,order
0.6,0.4,cancer,100,order
0.438,0.562,cancer,100,order
0.331,0.669,normal,100,order
0.446,0.554,normal,100,order
0.495,0.505,cancer,100,order
0.439,0.561,cancer,100,order
0.541,0.459,cancer,100,order
0.488,0.512,cancer,100,order
0.673,0.327,cancer,100,order
0.39,0.61,cancer,100,order
0.5,0.5,cancer,100,order
0.506,0.494,cancer,100,order
0.346,0.654,normal,100,order
0.652,0.348,cancer,100,order
0.514,0.486,cancer,100,order
0.544,0.456,cancer,100,order
0.631,0.369,normal,100,order
0.329,0.671,cancer,100,order
0.531,0.469,cancer,100,order
0.492,0.508,cancer,100,order
0.553,0.447,normal,100,order
0.621,0.379,cancer,100,order
0.521,0.479,cancer,100,order
0.596,0.404,cancer,100,order
0.617,0.383,cancer,100,order
0.704,0.296,cancer,100,order
0.514,0.486,cancer,100,order
0.485,0.515,cancer,100,order
0.515,0.485,normal,100,order
0.498,0.502,normal,100,order
0.49,0.51,normal,100,order
0.405,0.595,normal,100,order
0.531,0.469,cancer,100,order
0.413,0.587,normal,100,order
0.69,0.31,cancer,100,order
0.602,0.398,normal,100,order
0.597,0.403,cancer,100,order
0.669,0.331,normal,100,order
0.439,0.561,normal,100,order
0.302,0.698,normal,100,order
0.388,0.612,normal,100,order
0.461,0.539,normal,100,order
0.456,0.544,cancer,100,order
0.66,0.34,normal,100,order
0.351,0.649,cancer,100,order
0.449,0.551,normal,100,order
0.338,0.662,normal,100,order
0.378,0.622,normal,100,order
0.295,0.705,cancer,100,order
0.354,0.646,normal,100,order
0.453,0.547,cancer,100,order
0.433,0.567,normal,100,order
0.262,0.738,cancer,100,order
0.404,0.596,cancer,100,order
0.4,0.6,cancer,100,order
0.383,0.617,normal,100,order
0.462,0.538,cancer,100,order
0.401,0.599,cancer,100,order
0.488,0.512,normal,100,order
0.482,0.518,normal,100,order
0.502,0.498,normal,100,order
0.566,0.434,normal,100,order
0.546,0.454,cancer,100,order
0.553,0.447,normal,100,order
0.553,0.447,cancer,100,order
0.62,0.38,normal,100,order
0.616,0.384,cancer,100,order
0.292,0.708,normal,100,order
0.415,0.585,normal,100,order
0.55,0.45,normal,100,order
0.52,0.48,normal,100,order
0.466,0.534,normal,100,order
0.487,0.513,normal,100,order
0.502,0.498,normal,11,order
0.515,0.485,cancer,11,order
0.498,0.502,normal,11,order
0.431,0.569,normal,11,order
0.411,0.589,normal,11,order
0.506,0.494,normal,11,order
0.233,0.767,normal,11,order
0.511,0.489,normal,11,order
0.307,0.693,normal,11,order
0.389,0.611,normal,11,order
0.469,0.531,normal,11,order
0.557,0.443,normal,11,order
0.407,0.593,normal,11,order
0.408,0.592,normal,11,order
0.293,0.707,normal,11,order
0.296,0.704,normal,11,order
0.505,0.495,cancer,11,order
0.415,0.585,cancer,11,order
0.73,0.27,cancer,11,order
0.524,0.476,normal,11,order
0.38,0.62,normal,11,order
0.355,0.645,cancer,11,order
0.594,0.406,cancer,11,order
0.538,0.462,cancer,11,order
0.415,0.585,normal,11,order
0.502,0.498,normal,11,order
0.448,0.552,cancer,11,order
0.514,0.486,cancer,11,order
0.483,0.517,cancer,11,order
0.706,0.294,cancer,11,order
0.634,0.366,cancer,11,order
0.449,0.551,cancer,11,order
0.372,0.628,cancer,11,order
0.528,0.472,cancer,11,order
0.381,0.619,normal,11,order
0.489,0.511,cancer,11,order
0.531,0.469,cancer,11,order
0.598,0.402,cancer,11,order
0.563,0.437,cancer,11,order
0.345,0.655,cancer,11,order
0.493,0.507,cancer,11,order
0.461,0.539,cancer,11,order
0.44,0.56,normal,11,order
0.556,0.444,cancer,11,order
0.535,0.465,cancer,11,order
0.654,0.346,normal,11,order
0.566,0.434,cancer,11,order
0.383,0.617,normal,11,order
0.438,0.562,cancer,11,order
0.42,0.58,cancer,11,order
0.532,0.468,normal,11,order
0.399,0.601,normal,11,order
0.472,0.528,cancer,11,order
0.507,0.493,normal,11,order
